         289175 function calls (288606 primitive calls) in 3.226 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      158    0.000    0.000    0.000    0.000 C:\Users\Alex Hoorn\miniconda3\lib\site-packages\numpy\lib\arraysetops.py:125(_unpack_tuple)
       81    0.000    0.000    0.016    0.000 e:\knowledge-representation-6\sattools\solvers.py:83(determine_unit_clauses)
      316    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
        4    0.000    0.000    0.000    0.000 C:\Users\Alex Hoorn\miniconda3\lib\ntpath.py:124(splitdrive)
      9/1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       79    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      131    0.000    0.000    0.000    0.000 {built-in method from_iterable}
        1    0.000    0.000    0.000    0.000 e:\knowledge-representation-6\test_solver.py:42(<listcomp>)
      158    0.000    0.000    0.000    0.000 C:\Users\Alex Hoorn\miniconda3\lib\site-packages\numpy\core\multiarray.py:148(concatenate)
        1    0.000    0.000    0.000    0.000 e:\knowledge-representation-6\test_solver.py:40(<listcomp>)
      158    0.000    0.000    0.000    0.000 C:\Users\Alex Hoorn\miniconda3\lib\site-packages\numpy\lib\arraysetops.py:133(_unique_dispatcher)
       79    0.000    0.000    0.000    0.000 C:\Users\Alex Hoorn\miniconda3\lib\site-packages\numpy\lib\arraysetops.py:636(_isin_dispatcher)
       79    0.000    0.000    0.000    0.000 C:\Users\Alex Hoorn\miniconda3\lib\site-packages\numpy\core\fromnumeric.py:2454(_cumsum_dispatcher)
       79    0.000    0.000    0.000    0.000 C:\Users\Alex Hoorn\miniconda3\lib\site-packages\numpy\lib\arraysetops.py:515(_in1d_dispatcher)
        1    0.000    0.000    0.000    0.000 {built-in method _collections._count_elements}
        3    0.000    0.000    0.000    0.000 C:\Users\Alex Hoorn\miniconda3\lib\codecs.py:309(__init__)
       71    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
        3    0.000    0.000    0.000    0.000 C:\Users\Alex Hoorn\miniconda3\lib\codecs.py:319(decode)
       48    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\Alex Hoorn\miniconda3\lib\_bootlocale.py:11(getpreferredencoding)
        1    0.000    0.000    3.520    3.520 e:\knowledge-representation-6\sattools\solvers.py:19(solve)
        1    0.000    0.000    0.009    0.009 e:\knowledge-representation-6\sattools\solvers.py:140(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method _locale._getdefaultlocale}
        1    0.000    0.000    0.000    0.000 C:\Users\Alex Hoorn\miniconda3\lib\ntpath.py:180(split)
        1    0.000    0.000    0.009    0.009 e:\knowledge-representation-6\sattools\solvers.py:11(__init__)
        1    0.000    0.000    0.000    0.000 e:\knowledge-representation-6\sattools\solvers.py:37(set_solution)
        1    0.000    0.000    0.000    0.000 C:\Users\Alex Hoorn\miniconda3\lib\collections\__init__.py:581(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\Alex Hoorn\miniconda3\lib\ntpath.py:77(join)
        8    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\Alex Hoorn\miniconda3\lib\collections\__init__.py:649(update)
        1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      9/1    0.000    0.000    0.000    0.000 C:\Users\Alex Hoorn\miniconda3\lib\abc.py:100(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 C:\Users\Alex Hoorn\miniconda3\lib\abc.py:96(__instancecheck__)
        3    0.000    0.000    0.000    0.000 C:\Users\Alex Hoorn\miniconda3\lib\codecs.py:260(__init__)
        9    0.000    0.000    0.000    0.000 C:\Users\Alex Hoorn\miniconda3\lib\_collections_abc.py:405(__subclasshook__)
        1    0.000    0.000    0.000    0.000 e:\knowledge-representation-6\sattools\sudoku.py:31(get_rules_filepath)
        2    0.000    0.000    0.000    0.000 {built-in method time.time}
        1    0.000    0.000    0.000    0.000 C:\Users\Alex Hoorn\miniconda3\lib\codecs.py:186(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\Alex Hoorn\miniconda3\lib\ntpath.py:34(_get_bothseps)
        1    0.000    0.000    0.000    0.000 e:\knowledge-representation-6\sattools\solvers.py:126(check_satisfaction)
        1    0.000    0.000    0.000    0.000 C:\Users\Alex Hoorn\miniconda3\lib\ntpath.py:221(dirname)
        6    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        4    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}


