identifier,backtracks,propagations,duration,constraint_size,assignment_size,satisfied
2,968,1969,198.03401708602905,102,4096,True
3,2669,5369,236.05858254432678,104,4096,True
4,182,388,160.68306517601013,104,4096,True
7,4886,9792,313.32281398773193,102,4096,True
9,1972,3965,211.46922898292542,102,4096,True
10,13437,26902,500.98838543891907,104,4096,True
12,1899,3815,213.15175867080688,112,4096,True
13,4722,9484,317.4135322570801,102,4096,True
14,7733,15503,371.8650236129761,100,4096,True
15,7699,15425,390.656108379364,102,4096,True
17,6482,12996,257.3489317893982,106,4096,True
19,13,39,73.8170998096466,126,4096,True
22,39,92,69.11682963371277,126,4096,True
23,38,91,70.14476346969604,126,4096,True
24,150,313,76.98998284339905,126,4096,True
25,3657,7353,148.09261679649353,98,4096,True
26,424,863,82.85031247138977,126,4096,True
27,83,191,77.8697829246521,106,4096,True
28,2,19,73.852130651474,126,4096,True
29,21911,43860,530.9516513347626,106,4096,True
