identifier,backtracks,propagations,duration,constraint_size,assignment_size,satisfied
2200,0,4,5.53,59,729,True
4500,8,21,4.78,36,729,True
9400,30,69,6.75,28,729,True
3600,3,8,9.7,45,729,True
4500,4,15,9.27,36,729,True
5400,6,25,4.68,27,729,True
3600,1,6,6.45,45,729,True
6050,31,70,9.23,28,729,True
6050,22,56,4.38,28,729,True
8300,27,69,4.15,26,729,True
9400,18,45,3.96,28,729,True
19250,15,38,3.33,30,729,True
7700,38,83,6.7,28,729,True
13250,40,89,5.26,25,729,True
