identifier,backtracks,propagations,duration,constraint_size,assignment_size,satisfied
3600,1,6,4.94,45,729,True
2200,1,5,5.23,59,729,True
3600,4,9,10.48,45,729,True
6050,4,17,4.65,28,729,True
8300,21,48,9.35,26,729,True
7700,22,57,4.85,28,729,True
9400,18,43,4.65,28,729,True
9400,35,77,8.78,28,729,True
8300,63,131,5.42,26,729,True
19250,48,101,8.68,30,729,True
4500,4,14,7.04,36,729,True
5400,33,74,7.12,27,729,True
13250,28,64,6.22,25,729,True
19250,14,32,5.08,30,729,True
