identifier,backtracks,propagations,duration,constraint_size,assignment_size,satisfied
1,6193,12426,338.7459247112274,100,4096,True
2,2449,4912,249.27659726142883,102,4096,True
4,5014,10045,295.641743183136,104,4096,True
5,5345,10719,354.4181718826294,102,4096,True
7,4231,8486,273.6917898654938,102,4096,True
8,6887,13819,348.85311245918274,102,4096,True
9,1960,3939,204.8261923789978,102,4096,True
10,1574,3175,207.35949230194092,104,4096,True
12,3616,7256,246.38496470451355,112,4096,True
17,5325,10671,226.7731385231018,106,4096,True
19,28,70,76.21728277206421,126,4096,True
22,37,84,71.88834810256958,126,4096,True
23,37,85,82.37087678909302,126,4096,True
24,250,519,79.95968556404114,126,4096,True
26,389,791,75.53666377067566,126,4096,True
27,798,1611,101.08488774299622,106,4096,True
28,4,22,76.14921975135803,126,4096,True
