identifier,backtracks,propagations,duration,constraint_size,assignment_size,satisfied
3600,0,6,0.8324131965637207,45,729,True
3600,0,6,0.9275228977203369,45,729,True
9400,8,36,0.8944754600524902,28,729,True
4500,0,11,1.0001277923583984,36,729,True
2200,0,4,1.0321547985076904,59,729,True
5400,41,93,1.1442577838897705,27,729,True
2200,0,4,1.1933197975158691,59,729,True
6050,73,167,1.1637108325958252,28,729,True
4500,0,11,1.168344497680664,36,729,True
19250,93,205,1.2073845863342285,30,729,True
6050,73,167,1.1748015880584717,28,729,True
7700,103,227,1.3595223426818848,28,729,True
5400,41,93,1.3039181232452393,27,729,True
9400,8,36,0.8343832492828369,28,729,True
13250,72,154,1.7914230823516846,25,729,True
7700,103,227,1.4635696411132812,28,729,True
4500,0,11,0.822324275970459,36,729,True
3600,0,6,0.8563535213470459,45,729,True
13250,72,154,1.1581823825836182,25,729,True
19250,93,205,1.0935704708099365,30,729,True
5400,41,93,1.004488229751587,27,729,True
9400,8,36,0.8953201770782471,28,729,True
2200,0,4,1.2026703357696533,59,729,True
7700,103,227,1.116520643234253,28,729,True
6050,73,167,1.1435482501983643,28,729,True
4500,0,11,0.741229772567749,36,729,True
19250,93,205,1.0019731521606445,30,729,True
13250,72,154,1.4014697074890137,25,729,True
2200,0,4,1.1401240825653076,59,729,True
3600,0,6,1.1891672611236572,45,729,True
5400,41,93,1.0130271911621094,27,729,True
6050,73,167,0.963982105255127,28,729,True
9400,8,36,0.9079501628875732,28,729,True
8300,503,1027,3.3285467624664307,26,729,True
2200,0,4,0.968116044998169,59,729,True
7700,103,227,1.2889182567596436,28,729,True
19250,93,205,1.0982863903045654,30,729,True
4500,0,11,0.7509522438049316,36,729,True
3600,0,6,0.7880074977874756,45,729,True
9400,8,36,0.7439534664154053,28,729,True
13250,72,154,1.5938327312469482,25,729,True
5400,41,93,1.070802927017212,27,729,True
8300,503,1027,3.188002347946167,26,729,True
6050,73,167,1.2220194339752197,28,729,True
3600,0,6,0.8887102603912354,45,729,True
4500,0,11,0.8645107746124268,36,729,True
2200,0,4,0.980156660079956,59,729,True
19250,93,205,1.0225474834442139,30,729,True
7700,103,227,1.4492664337158203,28,729,True
6050,73,167,0.9960944652557373,28,729,True
13250,72,154,1.3752145767211914,25,729,True
5400,41,93,1.3395233154296875,27,729,True
9400,8,36,0.964557409286499,28,729,True
7700,103,227,1.074725866317749,28,729,True
13250,72,154,1.1542389392852783,25,729,True
3600,0,6,0.9300196170806885,45,729,True
19250,93,205,1.101731300354004,30,729,True
2200,0,4,0.9860880374908447,59,729,True
5400,41,93,0.9465658664703369,27,729,True
4500,0,11,0.9836006164550781,36,729,True
8300,503,1027,4.2161033153533936,26,729,True
6050,73,167,1.0546886920928955,28,729,True
7700,103,227,1.1167902946472168,28,729,True
8300,503,1027,3.502992630004883,26,729,True
9400,8,36,0.9155104160308838,28,729,True
19250,93,205,1.1303296089172363,30,729,True
2200,0,4,0.8200159072875977,59,729,True
13250,72,154,1.3595373630523682,25,729,True
8300,503,1027,3.2773079872131348,26,729,True
5400,41,93,1.0156347751617432,27,729,True
3600,0,6,1.1552987098693848,45,729,True
7700,103,227,1.1117222309112549,28,729,True
4500,0,11,1.156764268875122,36,729,True
9400,8,36,0.9565408229827881,28,729,True
2200,0,4,0.8223726749420166,59,729,True
6050,73,167,1.4420223236083984,28,729,True
4500,0,11,0.7706997394561768,36,729,True
3600,0,6,0.8117392063140869,45,729,True
19250,93,205,1.1796960830688477,30,729,True
13250,72,154,1.2667748928070068,25,729,True
6050,73,167,1.0049126148223877,28,729,True
5400,41,93,1.2361397743225098,27,729,True
2200,0,4,0.8397769927978516,59,729,True
8300,503,1027,3.609278917312622,26,729,True
7700,103,227,1.1600685119628906,28,729,True
9400,8,36,1.0539708137512207,28,729,True
4500,0,11,0.743687629699707,36,729,True
3600,0,6,0.9549150466918945,45,729,True
19250,93,205,1.2321655750274658,30,729,True
8300,503,1027,3.3254666328430176,26,729,True
13250,72,154,1.4423792362213135,25,729,True
6050,73,167,1.0540492534637451,28,729,True
5400,41,93,1.1461312770843506,27,729,True
7700,103,227,1.1284167766571045,28,729,True
4500,0,11,0.7508144378662109,36,729,True
9400,8,36,0.9034616947174072,28,729,True
2200,0,4,1.017566204071045,59,729,True
13250,72,154,1.2007899284362793,25,729,True
9400,8,36,0.7913403511047363,28,729,True
3600,0,6,1.1567511558532715,45,729,True
5400,41,93,1.161803960800171,27,729,True
7700,103,227,1.0326614379882812,28,729,True
6050,73,167,1.1668081283569336,28,729,True
19250,93,205,1.5251643657684326,30,729,True
